# OIPC (Online Isotopes in Precipitation Calculator v3.1) monthly precipitation δ²H (‰ VSMOW)
# Source: https://wateriso.utah.edu/waterisotopes/pages/data_access/oipc.html
# Based on: Bowen & Revenaugh (2003) WRR, Bowen et al. (2005) WRR
# Retrieved: 2026-05-20
# Coordinates and elevations from NOAA/GAW station metadata
#
site,lat,lon,elev_m,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALT,82.45,-62.52,210,-273,-287,-305,-250,-226,-185,-171,-176,-191,-252,-272,-286
ZEP,78.91,11.89,474,-95,-95,-99,-90,-85,-89,-79,-79,-78,-87,-98,-91
BRW,71.32,-156.61,11,-191,-147,-213,-183,-178,-130,-120,-111,-115,-149,-174,-206
CBA,55.21,-162.72,25,-105,-81,-76,-86,-61,-50,-44,-57,-49,-60,-82,-91
MHD,53.33,-9.90,5,-59,-61,-54,-50,-36,-27,-19,-16,-22,-41,-49,-54
AZR,38.77,-27.38,40,-19,-18,-23,-6,-7,6,12,7,9,-11,-12,-12
MLO,19.54,-155.58,3397,-65,-71,-64,-54,-44,-38,-30,-30,-31,-44,-69,-62
KUM,19.56,-154.82,3,-11,-12,-15,-5,3,6,4,1,6,1,-9,-8
ASC,-7.97,-14.40,85,16,16,11,8,9,9,7,7,6,11,13,14
SMO,-14.25,-170.56,42,-27,-34,-18,-25,-20,-17,-16,-11,-15,-19,-18,-35
CGO,-40.68,144.69,94,-1,-13,-10,-25,-37,-42,-44,-33,-35,-24,-16,-7
SPO,-89.98,-24.80,2810,-354,-361,-404,-397,-418,-426,-424,-417,-428,-424,-405,-355
