OH_13C,OH_D,Cl_13C,Cl_D
1.005060934072834,1.3084829885118177,1.0675009023916129,1.5388112943278243
1.0040921704490133,1.3088627359505538,1.0677587959497257,1.535555838708579
1.0047318771805238,1.2961059694514379,1.0677569006026146,1.519001481780275
1.0050675752456106,1.300423077359115,1.0670646183711068,1.5273088812872815
1.0043887380372072,1.3062251702991508,1.067231958845151,1.5425794458544178
1.0045557278783086,1.3214783804699086,1.063657609659275,1.5308630853661038
1.0049237432559626,1.2986118319591073,1.067357827126144,1.5213515813897778
1.0045883736633074,1.3127684594664455,1.0654497154975466,1.549898826224688
1.004852077480001,1.312268120221714,1.0674224531595857,1.5358669447039985
1.0051801046099023,1.3017200030335563,1.0641610954279968,1.5299432148810752
1.0048964703104912,1.3074107664275223,1.0669135504751148,1.506761481178667
1.0041419076685505,1.310534477578411,1.066961493317812,1.5289306235205988
1.00444271891583,1.2968924473374315,1.0633546007752912,1.5000550634479703
1.0050681263559487,1.3176573762422468,1.0641327646399803,1.5158912488426475
1.004358934936226,1.3131142457750826,1.0648117000886064,1.491078842912231
1.0047761469533691,1.3154449378513091,1.0639530050147563,1.5235855126991262
1.0040551044515837,1.3133922708818644,1.0647204969345005,1.5014684811718895
1.0053378388198622,1.3099160134191157,1.0666270276949004,1.5367625313578877
1.0046102341015855,1.3028101968820325,1.0643741178093795,1.5116928547964064
1.004110373633498,1.3122831927367886,1.0626506341105912,1.5102738418185333
1.0052740177677064,1.3015970616995312,1.0640697664755354,1.505495478709285
1.0053293490926047,1.303600288658624,1.065686724204684,1.5191847494772914
1.0053885633460837,1.3234253497864121,1.069158182512821,1.5231998322714688
1.0048924918947517,1.3063307050528326,1.0668575128769233,1.5507151198399198
1.0051466690081874,1.2990583824486084,1.0652336253577281,1.549228885844844
1.0046511117793036,1.2987486175841914,1.0666751490975979,1.5481496372262744
1.0049413936534644,1.3131768481042898,1.0642436952661425,1.5133175311859837
1.0043514230376713,1.3101232734966006,1.0670762308740078,1.546747962148855
1.0048509626675217,1.2974946143237749,1.0661809795632557,1.524564566602778
